StateCodes,TotalP2014,2014_GDP_per_Capita,State
AL,1353725,38479,Alabama
AK,1475129,72265,Alaska
AZ,635050,40602,Arizona
AR,1454325,37977,Arkansas
CA,2413494,59804,California
CO,3041634,55130,Colorado
CT,197271,66084,Connecticut
DE,4189,68297,Delaware
FL,553738,40499,Florida
GA,597955,46088,Georgia
HI,27166,52658,Hawaii
ID,154936,37614,Idaho
IL,2683815,56965,Illinois
IN,1123098,47479,Indiana
IA,757014,52973,Iowa
KS,880650,49348,Kansas
KY,2055121,40719,Kentucky
LA,2852411,49921,Louisiana
ME,151257,40141,Maine
MD,250058,56848,Maryland
MA,124671,67046,Massachusetts
MI,682788,43351,Michigan
MN,466967,56534,Minnesota
MS,402842,33247,Mississippi
MO,199586,45040,Missouri
MT,1161804,42169,Montana
NE,401699,57000,Nebraska
NV,71140,45995,Nevada
NH,161033,52110,New Hampshire
NJ,388386,59212,New Jersey
NM,2514744,42649,New Mexico
NY,871720,68589,New York
NC,595660,45665,North Carolina
ND,3261360,76357,North Dakota
OH,1547368,49157,Ohio
OK,3572829,48491,Oklahoma
OR,479935,45910,Oregon
PA,7087392,51981,Pennsylvania
RI,4304,49439,Rhode Island
SC,675110,37995,South Carolina
SD,249789,51938,South Dakota
TN,499501,44570,Tennessee
TX,17597105,56060,Texas
UT,1170681,46262,Utah
VT,85874,45569,Vermont
VA,979780,53600,Virginia
WA,1027404,60310,Washington
WV,4154063,37765,West Virginia
WI,298603,48893,Wisconsin
WY,9361755,66193,Wyoming
DC,360,173523,District of Columbia
